profileID,respID,qID,altID,obsID,price,brand,keyless,electric,warranty,blockID,label,chosen
24,1,4,3,4,10k - 50k,europe,Yes,Yes,No,1,L Car,1
9,1,5,1,5,10k - 50k,japan,Yes,No,No,1,M Car,0
46,1,5,2,5,below 10k,europe,Yes,Yes,Yes,1,N Car,1
29,1,5,3,5,above 50k,europe,No,No,Yes,1,O Car,0
7,1,6,1,6,below 10k,japan,Yes,No,No,1,P Car,0
35,1,6,2,6,above 50k,europe,Yes,No,Yes,1,Q Car,0
39,1,6,3,6,10k - 50k,japan,No,Yes,Yes,1,R Car,1
14,2,1,1,1,above 50k,japan,No,Yes,No,1,A Car,0
48,2,1,2,1,10k - 50k,europe,Yes,Yes,Yes,1,B Car,0
31,2,1,3,1,below 10k,japan,Yes,No,Yes,1,C Car,1
23,2,2,1,2,above 50k,europe,Yes,Yes,No,1,D Car,1
45,2,2,2,2,10k - 50k,japan,Yes,Yes,Yes,1,E Car,0
4,2,2,3,2,below 10k,europe,No,No,No,1,F Car,0
30,2,3,1,3,10k - 50k,europe,No,No,Yes,1,G Car,0
44,2,3,2,3,above 50k,japan,Yes,Yes,Yes,1,H Car,1
16,2,3,3,3,below 10k,europe,No,Yes,No,1,I Car,0
37,2,4,1,4,below 10k,japan,No,Yes,Yes,1,J Car,1
8,2,4,2,4,above 50k,japan,Yes,No,No,1,K Car,0
24,2,4,3,4,10k - 50k,europe,Yes,Yes,No,1,L Car,0
9,2,5,1,5,10k - 50k,japan,Yes,No,No,1,M Car,0
46,2,5,2,5,below 10k,europe,Yes,Yes,Yes,1,N Car,1
29,2,5,3,5,above 50k,europe,No,No,Yes,1,O Car,0
7,2,6,1,6,below 10k,japan,Yes,No,No,1,P Car,1
35,2,6,2,6,above 50k,europe,Yes,No,Yes,1,Q Car,0
39,2,6,3,6,10k - 50k,japan,No,Yes,Yes,1,R Car,0
14,3,1,1,1,above 50k,japan,No,Yes,No,1,A Car,0
48,3,1,2,1,10k - 50k,europe,Yes,Yes,Yes,1,B Car,0
31,3,1,3,1,below 10k,japan,Yes,No,Yes,1,C Car,1
23,3,2,1,2,above 50k,europe,Yes,Yes,No,1,D Car,1
45,3,2,2,2,10k - 50k,japan,Yes,Yes,Yes,1,E Car,0
4,3,2,3,2,below 10k,europe,No,No,No,1,F Car,0
30,3,3,1,3,10k - 50k,europe,No,No,Yes,1,G Car,0
44,3,3,2,3,above 50k,japan,Yes,Yes,Yes,1,H Car,0
16,3,3,3,3,below 10k,europe,No,Yes,No,1,I Car,1
37,3,4,1,4,below 10k,japan,No,Yes,Yes,1,J Car,1
8,3,4,2,4,above 50k,japan,Yes,No,No,1,K Car,0
24,3,4,3,4,10k - 50k,europe,Yes,Yes,No,1,L Car,0
9,3,5,1,5,10k - 50k,japan,Yes,No,No,1,M Car,0
46,3,5,2,5,below 10k,europe,Yes,Yes,Yes,1,N Car,1
29,3,5,3,5,above 50k,europe,No,No,Yes,1,O Car,0
7,3,6,1,6,below 10k,japan,Yes,No,No,1,P Car,0
35,3,6,2,6,above 50k,europe,Yes,No,Yes,1,Q Car,1
39,3,6,3,6,10k - 50k,japan,No,Yes,Yes,1,R Car,0
14,4,1,1,1,above 50k,japan,No,Yes,No,1,A Car,0
48,4,1,2,1,10k - 50k,europe,Yes,Yes,Yes,1,B Car,1
31,4,1,3,1,below 10k,japan,Yes,No,Yes,1,C Car,0
23,4,2,1,2,above 50k,europe,Yes,Yes,No,1,D Car,0
45,4,2,2,2,10k - 50k,japan,Yes,Yes,Yes,1,E Car,1
4,4,2,3,2,below 10k,europe,No,No,No,1,F Car,0
30,4,3,1,3,10k - 50k,europe,No,No,Yes,1,G Car,0
44,4,3,2,3,above 50k,japan,Yes,Yes,Yes,1,H Car,1
16,4,3,3,3,below 10k,europe,No,Yes,No,1,I Car,0
37,4,4,1,4,below 10k,japan,No,Yes,Yes,1,J Car,1
8,4,4,2,4,above 50k,japan,Yes,No,No,1,K Car,0
24,4,4,3,4,10k - 50k,europe,Yes,Yes,No,1,L Car,0
9,4,5,1,5,10k - 50k,japan,Yes,No,No,1,M Car,0
46,4,5,2,5,below 10k,europe,Yes,Yes,Yes,1,N Car,1
29,4,5,3,5,above 50k,europe,No,No,Yes,1,O Car,0
7,4,6,1,6,below 10k,japan,Yes,No,No,1,P Car,0
35,4,6,2,6,above 50k,europe,Yes,No,Yes,1,Q Car,0
39,4,6,3,6,10k - 50k,japan,No,Yes,Yes,1,R Car,1
14,5,1,1,1,above 50k,japan,No,Yes,No,1,A Car,0
48,5,1,2,1,10k - 50k,europe,Yes,Yes,Yes,1,B Car,1
31,5,1,3,1,below 10k,japan,Yes,No,Yes,1,C Car,0
23,5,2,1,2,above 50k,europe,Yes,Yes,No,1,D Car,0
45,5,2,2,2,10k - 50k,japan,Yes,Yes,Yes,1,E Car,0
4,5,2,3,2,below 10k,europe,No,No,No,1,F Car,1
30,5,3,1,3,10k - 50k,europe,No,No,Yes,1,G Car,1
44,5,3,2,3,above 50k,japan,Yes,Yes,Yes,1,H Car,0
16,5,3,3,3,below 10k,europe,No,Yes,No,1,I Car,0
37,5,4,1,4,below 10k,japan,No,Yes,Yes,1,J Car,1
8,5,4,2,4,above 50k,japan,Yes,No,No,1,K Car,0
24,5,4,3,4,10k - 50k,europe,Yes,Yes,No,1,L Car,0
9,5,5,1,5,10k - 50k,japan,Yes,No,No,1,M Car,0
46,5,5,2,5,below 10k,europe,Yes,Yes,Yes,1,N Car,1
29,5,5,3,5,above 50k,europe,No,No,Yes,1,O Car,0
7,5,6,1,6,below 10k,japan,Yes,No,No,1,P Car,0
35,5,6,2,6,above 50k,europe,Yes,No,Yes,1,Q Car,0
39,5,6,3,6,10k - 50k,japan,No,Yes,Yes,1,R Car,1
14,6,1,1,1,above 50k,japan,No,Yes,No,1,A Car,0
48,6,1,2,1,10k - 50k,europe,Yes,Yes,Yes,1,B Car,0
31,6,1,3,1,below 10k,japan,Yes,No,Yes,1,C Car,1
23,6,2,1,2,above 50k,europe,Yes,Yes,No,1,D Car,1
45,6,2,2,2,10k - 50k,japan,Yes,Yes,Yes,1,E Car,0
4,6,2,3,2,below 10k,europe,No,No,No,1,F Car,0
30,6,3,1,3,10k - 50k,europe,No,No,Yes,1,G Car,0
44,6,3,2,3,above 50k,japan,Yes,Yes,Yes,1,H Car,1
16,6,3,3,3,below 10k,europe,No,Yes,No,1,I Car,0
37,6,4,1,4,below 10k,japan,No,Yes,Yes,1,J Car,1
8,6,4,2,4,above 50k,japan,Yes,No,No,1,K Car,0
24,6,4,3,4,10k - 50k,europe,Yes,Yes,No,1,L Car,0
9,6,5,1,5,10k - 50k,japan,Yes,No,No,1,M Car,0
46,6,5,2,5,below 10k,europe,Yes,Yes,Yes,1,N Car,1
29,6,5,3,5,above 50k,europe,No,No,Yes,1,O Car,0
7,6,6,1,6,below 10k,japan,Yes,No,No,1,P Car,1
35,6,6,2,6,above 50k,europe,Yes,No,Yes,1,Q Car,0
39,6,6,3,6,10k - 50k,japan,No,Yes,Yes,1,R Car,0
14,7,1,1,1,above 50k,japan,No,Yes,No,1,A Car,0
48,7,1,2,1,10k - 50k,europe,Yes,Yes,Yes,1,B Car,0
31,7,1,3,1,below 10k,japan,Yes,No,Yes,1,C Car,1
23,7,2,1,2,above 50k,europe,Yes,Yes,No,1,D Car,1
45,7,2,2,2,10k - 50k,japan,Yes,Yes,Yes,1,E Car,0
4,7,2,3,2,below 10k,europe,No,No,No,1,F Car,0
30,7,3,1,3,10k - 50k,europe,No,No,Yes,1,G Car,0
44,7,3,2,3,above 50k,japan,Yes,Yes,Yes,1,H Car,0
16,7,3,3,3,below 10k,europe,No,Yes,No,1,I Car,1
37,7,4,1,4,below 10k,japan,No,Yes,Yes,1,J Car,1
8,7,4,2,4,above 50k,japan,Yes,No,No,1,K Car,0
24,7,4,3,4,10k - 50k,europe,Yes,Yes,No,1,L Car,0
9,7,5,1,5,10k - 50k,japan,Yes,No,No,1,M Car,0
46,7,5,2,5,below 10k,europe,Yes,Yes,Yes,1,N Car,1
29,7,5,3,5,above 50k,europe,No,No,Yes,1,O Car,0
7,7,6,1,6,below 10k,japan,Yes,No,No,1,P Car,1
35,7,6,2,6,above 50k,europe,Yes,No,Yes,1,Q Car,0
39,7,6,3,6,10k - 50k,japan,No,Yes,Yes,1,R Car,0
14,8,1,1,1,above 50k,japan,No,Yes,No,1,A Car,0
48,8,1,2,1,10k - 50k,europe,Yes,Yes,Yes,1,B Car,1
31,8,1,3,1,below 10k,japan,Yes,No,Yes,1,C Car,0
23,8,2,1,2,above 50k,europe,Yes,Yes,No,1,D Car,0
45,8,2,2,2,10k - 50k,japan,Yes,Yes,Yes,1,E Car,1
4,8,2,3,2,below 10k,europe,No,No,No,1,F Car,0
30,8,3,1,3,10k - 50k,europe,No,No,Yes,1,G Car,1
44,8,3,2,3,above 50k,japan,Yes,Yes,Yes,1,H Car,0
16,8,3,3,3,below 10k,europe,No,Yes,No,1,I Car,0
37,8,4,1,4,below 10k,japan,No,Yes,Yes,1,J Car,1
8,8,4,2,4,above 50k,japan,Yes,No,No,1,K Car,0
24,8,4,3,4,10k - 50k,europe,Yes,Yes,No,1,L Car,0
9,8,5,1,5,10k - 50k,japan,Yes,No,No,1,M Car,0
46,8,5,2,5,below 10k,europe,Yes,Yes,Yes,1,N Car,1
29,8,5,3,5,above 50k,europe,No,No,Yes,1,O Car,0
7,8,6,1,6,below 10k,japan,Yes,No,No,1,P Car,0
35,8,6,2,6,above 50k,europe,Yes,No,Yes,1,Q Car,0
39,8,6,3,6,10k - 50k,japan,No,Yes,Yes,1,R Car,1
14,9,1,1,1,above 50k,japan,No,Yes,No,1,A Car,0
48,9,1,2,1,10k - 50k,europe,Yes,Yes,Yes,1,B Car,1
31,9,1,3,1,below 10k,japan,Yes,No,Yes,1,C Car,0
23,9,2,1,2,above 50k,europe,Yes,Yes,No,1,D Car,0
45,9,2,2,2,10k - 50k,japan,Yes,Yes,Yes,1,E Car,1
4,9,2,3,2,below 10k,europe,No,No,No,1,F Car,0
30,9,3,1,3,10k - 50k,europe,No,No,Yes,1,G Car,0
44,9,3,2,3,above 50k,japan,Yes,Yes,Yes,1,H Car,1
16,9,3,3,3,below 10k,europe,No,Yes,No,1,I Car,0
37,9,4,1,4,below 10k,japan,No,Yes,Yes,1,J Car,1
8,9,4,2,4,above 50k,japan,Yes,No,No,1,K Car,0
24,9,4,3,4,10k - 50k,europe,Yes,Yes,No,1,L Car,0
9,9,5,1,5,10k - 50k,japan,Yes,No,No,1,M Car,0
46,9,5,2,5,below 10k,europe,Yes,Yes,Yes,1,N Car,1
29,9,5,3,5,above 50k,europe,No,No,Yes,1,O Car,0
7,9,6,1,6,below 10k,japan,Yes,No,No,1,P Car,0
35,9,6,2,6,above 50k,europe,Yes,No,Yes,1,Q Car,1
39,9,6,3,6,10k - 50k,japan,No,Yes,Yes,1,R Car,0
14,10,1,1,1,above 50k,japan,No,Yes,No,1,A Car,0
48,10,1,2,1,10k - 50k,europe,Yes,Yes,Yes,1,B Car,1
31,10,1,3,1,below 10k,japan,Yes,No,Yes,1,C Car,0
23,10,2,1,2,above 50k,europe,Yes,Yes,No,1,D Car,1
45,10,2,2,2,10k - 50k,japan,Yes,Yes,Yes,1,E Car,0
4,10,2,3,2,below 10k,europe,No,No,No,1,F Car,0
30,10,3,1,3,10k - 50k,europe,No,No,Yes,1,G Car,1
44,10,3,2,3,above 50k,japan,Yes,Yes,Yes,1,H Car,0
16,10,3,3,3,below 10k,europe,No,Yes,No,1,I Car,0
37,10,4,1,4,below 10k,japan,No,Yes,Yes,1,J Car,0
8,10,4,2,4,above 50k,japan,Yes,No,No,1,K Car,0
24,10,4,3,4,10k - 50k,europe,Yes,Yes,No,1,L Car,1
9,10,5,1,5,10k - 50k,japan,Yes,No,No,1,M Car,0
46,10,5,2,5,below 10k,europe,Yes,Yes,Yes,1,N Car,1
29,10,5,3,5,above 50k,europe,No,No,Yes,1,O Car,0
7,10,6,1,6,below 10k,japan,Yes,No,No,1,P Car,0
35,10,6,2,6,above 50k,europe,Yes,No,Yes,1,Q Car,1
39,10,6,3,6,10k - 50k,japan,No,Yes,Yes,1,R Car,0
14,11,1,1,1,above 50k,japan,No,Yes,No,1,A Car,0
48,11,1,2,1,10k - 50k,europe,Yes,Yes,Yes,1,B Car,0
31,11,1,3,1,below 10k,japan,Yes,No,Yes,1,C Car,1
23,11,2,1,2,above 50k,europe,Yes,Yes,No,1,D Car,0
45,11,2,2,2,10k - 50k,japan,Yes,Yes,Yes,1,E Car,0
4,11,2,3,2,below 10k,europe,No,No,No,1,F Car,1
30,11,3,1,3,10k - 50k,europe,No,No,Yes,1,G Car,0
44,11,3,2,3,above 50k,japan,Yes,Yes,Yes,1,H Car,0
16,11,3,3,3,below 10k,europe,No,Yes,No,1,I Car,1
37,11,4,1,4,below 10k,japan,No,Yes,Yes,1,J Car,1
8,11,4,2,4,above 50k,japan,Yes,No,No,1,K Car,0
24,11,4,3,4,10k - 50k,europe,Yes,Yes,No,1,L Car,0
9,11,5,1,5,10k - 50k,japan,Yes,No,No,1,M Car,0
46,11,5,2,5,below 10k,europe,Yes,Yes,Yes,1,N Car,1
29,11,5,3,5,above 50k,europe,No,No,Yes,1,O Car,0
7,11,6,1,6,below 10k,japan,Yes,No,No,1,P Car,1
35,11,6,2,6,above 50k,europe,Yes,No,Yes,1,Q Car,0
39,11,6,3,6,10k - 50k,japan,No,Yes,Yes,1,R Car,0
14,12,1,1,1,above 50k,japan,No,Yes,No,1,A Car,0
48,12,1,2,1,10k - 50k,europe,Yes,Yes,Yes,1,B Car,1
31,12,1,3,1,below 10k,japan,Yes,No,Yes,1,C Car,0
23,12,2,1,2,above 50k,europe,Yes,Yes,No,1,D Car,0
45,12,2,2,2,10k - 50k,japan,Yes,Yes,Yes,1,E Car,1
4,12,2,3,2,below 10k,europe,No,No,No,1,F Car,0
30,12,3,1,3,10k - 50k,europe,No,No,Yes,1,G Car,0
44,12,3,2,3,above 50k,japan,Yes,Yes,Yes,1,H Car,0
16,12,3,3,3,below 10k,europe,No,Yes,No,1,I Car,1
37,12,4,1,4,below 10k,japan,No,Yes,Yes,1,J Car,0
8,12,4,2,4,above 50k,japan,Yes,No,No,1,K Car,0
24,12,4,3,4,10k - 50k,europe,Yes,Yes,No,1,L Car,1
9,12,5,1,5,10k - 50k,japan,Yes,No,No,1,M Car,0
46,12,5,2,5,below 10k,europe,Yes,Yes,Yes,1,N Car,1
29,12,5,3,5,above 50k,europe,No,No,Yes,1,O Car,0
7,12,6,1,6,below 10k,japan,Yes,No,No,1,P Car,0
35,12,6,2,6,above 50k,europe,Yes,No,Yes,1,Q Car,0
39,12,6,3,6,10k - 50k,japan,No,Yes,Yes,1,R Car,1
14,13,1,1,1,above 50k,japan,No,Yes,No,1,A Car,0
48,13,1,2,1,10k - 50k,europe,Yes,Yes,Yes,1,B Car,1
31,13,1,3,1,below 10k,japan,Yes,No,Yes,1,C Car,0
23,13,2,1,2,above 50k,europe,Yes,Yes,No,1,D Car,0
45,13,2,2,2,10k - 50k,japan,Yes,Yes,Yes,1,E Car,1
4,13,2,3,2,below 10k,europe,No,No,No,1,F Car,0
30,13,3,1,3,10k - 50k,europe,No,No,Yes,1,G Car,0
44,13,3,2,3,above 50k,japan,Yes,Yes,Yes,1,H Car,1
16,13,3,3,3,below 10k,europe,No,Yes,No,1,I Car,0
37,13,4,1,4,below 10k,japan,No,Yes,Yes,1,J Car,0
8,13,4,2,4,above 50k,japan,Yes,No,No,1,K Car,0
24,13,4,3,4,10k - 50k,europe,Yes,Yes,No,1,L Car,1
9,13,5,1,5,10k - 50k,japan,Yes,No,No,1,M Car,0
46,13,5,2,5,below 10k,europe,Yes,Yes,Yes,1,N Car,1
29,13,5,3,5,above 50k,europe,No,No,Yes,1,O Car,0
7,13,6,1,6,below 10k,japan,Yes,No,No,1,P Car,0
35,13,6,2,6,above 50k,europe,Yes,No,Yes,1,Q Car,0
39,13,6,3,6,10k - 50k,japan,No,Yes,Yes,1,R Car,1
14,14,1,1,1,above 50k,japan,No,Yes,No,1,A Car,0
48,14,1,2,1,10k - 50k,europe,Yes,Yes,Yes,1,B Car,1
31,14,1,3,1,below 10k,japan,Yes,No,Yes,1,C Car,0
23,14,2,1,2,above 50k,europe,Yes,Yes,No,1,D Car,1
45,14,2,2,2,10k - 50k,japan,Yes,Yes,Yes,1,E Car,0
4,14,2,3,2,below 10k,europe,No,No,No,1,F Car,0
30,14,3,1,3,10k - 50k,europe,No,No,Yes,1,G Car,0
44,14,3,2,3,above 50k,japan,Yes,Yes,Yes,1,H Car,0
16,14,3,3,3,below 10k,europe,No,Yes,No,1,I Car,1
37,14,4,1,4,below 10k,japan,No,Yes,Yes,1,J Car,1
8,14,4,2,4,above 50k,japan,Yes,No,No,1,K Car,0
24,14,4,3,4,10k - 50k,europe,Yes,Yes,No,1,L Car,0
9,14,5,1,5,10k - 50k,japan,Yes,No,No,1,M Car,0
46,14,5,2,5,below 10k,europe,Yes,Yes,Yes,1,N Car,1
29,14,5,3,5,above 50k,europe,No,No,Yes,1,O Car,0
7,14,6,1,6,below 10k,japan,Yes,No,No,1,P Car,0
35,14,6,2,6,above 50k,europe,Yes,No,Yes,1,Q Car,0
39,14,6,3,6,10k - 50k,japan,No,Yes,Yes,1,R Car,1
14,15,1,1,1,above 50k,japan,No,Yes,No,1,A Car,0
48,15,1,2,1,10k - 50k,europe,Yes,Yes,Yes,1,B Car,0
31,15,1,3,1,below 10k,japan,Yes,No,Yes,1,C Car,1
23,15,2,1,2,above 50k,europe,Yes,Yes,No,1,D Car,1
45,15,2,2,2,10k - 50k,japan,Yes,Yes,Yes,1,E Car,0
4,15,2,3,2,below 10k,europe,No,No,No,1,F Car,0
30,15,3,1,3,10k - 50k,europe,No,No,Yes,1,G Car,0
44,15,3,2,3,above 50k,japan,Yes,Yes,Yes,1,H Car,0
16,15,3,3,3,below 10k,europe,No,Yes,No,1,I Car,1
37,15,4,1,4,below 10k,japan,No,Yes,Yes,1,J Car,1
8,15,4,2,4,above 50k,japan,Yes,No,No,1,K Car,0
24,15,4,3,4,10k - 50k,europe,Yes,Yes,No,1,L Car,0
9,15,5,1,5,10k - 50k,japan,Yes,No,No,1,M Car,0
46,15,5,2,5,below 10k,europe,Yes,Yes,Yes,1,N Car,1
29,15,5,3,5,above 50k,europe,No,No,Yes,1,O Car,0
7,15,6,1,6,below 10k,japan,Yes,No,No,1,P Car,1
35,15,6,2,6,above 50k,europe,Yes,No,Yes,1,Q Car,0
39,15,6,3,6,10k - 50k,japan,No,Yes,Yes,1,R Car,0
14,16,1,1,1,above 50k,japan,No,Yes,No,1,A Car,0
48,16,1,2,1,10k - 50k,europe,Yes,Yes,Yes,1,B Car,1
31,16,1,3,1,below 10k,japan,Yes,No,Yes,1,C Car,0
23,16,2,1,2,above 50k,europe,Yes,Yes,No,1,D Car,1
45,16,2,2,2,10k - 50k,japan,Yes,Yes,Yes,1,E Car,0
4,16,2,3,2,below 10k,europe,No,No,No,1,F Car,0
30,16,3,1,3,10k - 50k,europe,No,No,Yes,1,G Car,0
44,16,3,2,3,above 50k,japan,Yes,Yes,Yes,1,H Car,0
16,16,3,3,3,below 10k,europe,No,Yes,No,1,I Car,1
37,16,4,1,4,below 10k,japan,No,Yes,Yes,1,J Car,1
8,16,4,2,4,above 50k,japan,Yes,No,No,1,K Car,0
24,16,4,3,4,10k - 50k,europe,Yes,Yes,No,1,L Car,0
9,16,5,1,5,10k - 50k,japan,Yes,No,No,1,M Car,0
46,16,5,2,5,below 10k,europe,Yes,Yes,Yes,1,N Car,1
29,16,5,3,5,above 50k,europe,No,No,Yes,1,O Car,0
7,16,6,1,6,below 10k,japan,Yes,No,No,1,P Car,0
35,16,6,2,6,above 50k,europe,Yes,No,Yes,1,Q Car,1
39,16,6,3,6,10k - 50k,japan,No,Yes,Yes,1,R Car,0
14,17,1,1,1,above 50k,japan,No,Yes,No,1,A Car,0
48,17,1,2,1,10k - 50k,europe,Yes,Yes,Yes,1,B Car,1
31,17,1,3,1,below 10k,japan,Yes,No,Yes,1,C Car,0
23,17,2,1,2,above 50k,europe,Yes,Yes,No,1,D Car,0
45,17,2,2,2,10k - 50k,japan,Yes,Yes,Yes,1,E Car,0
4,17,2,3,2,below 10k,europe,No,No,No,1,F Car,1
30,17,3,1,3,10k - 50k,europe,No,No,Yes,1,G Car,1
44,17,3,2,3,above 50k,japan,Yes,Yes,Yes,1,H Car,0
16,17,3,3,3,below 10k,europe,No,Yes,No,1,I Car,0
37,17,4,1,4,below 10k,japan,No,Yes,Yes,1,J Car,0
8,17,4,2,4,above 50k,japan,Yes,No,No,1,K Car,0
24,17,4,3,4,10k - 50k,europe,Yes,Yes,No,1,L Car,1
9,17,5,1,5,10k - 50k,japan,Yes,No,No,1,M Car,0
46,17,5,2,5,below 10k,europe,Yes,Yes,Yes,1,N Car,1
29,17,5,3,5,above 50k,europe,No,No,Yes,1,O Car,0
7,17,6,1,6,below 10k,japan,Yes,No,No,1,P Car,0
35,17,6,2,6,above 50k,europe,Yes,No,Yes,1,Q Car,1
39,17,6,3,6,10k - 50k,japan,No,Yes,Yes,1,R Car,0
14,18,1,1,1,above 50k,japan,No,Yes,No,1,A Car,0
48,18,1,2,1,10k - 50k,europe,Yes,Yes,Yes,1,B Car,1
31,18,1,3,1,below 10k,japan,Yes,No,Yes,1,C Car,0
23,18,2,1,2,above 50k,europe,Yes,Yes,No,1,D Car,1
45,18,2,2,2,10k - 50k,japan,Yes,Yes,Yes,1,E Car,0
4,18,2,3,2,below 10k,europe,No,No,No,1,F Car,0
30,18,3,1,3,10k - 50k,europe,No,No,Yes,1,G Car,0
44,18,3,2,3,above 50k,japan,Yes,Yes,Yes,1,H Car,0
16,18,3,3,3,below 10k,europe,No,Yes,No,1,I Car,1
37,18,4,1,4,below 10k,japan,No,Yes,Yes,1,J Car,1
8,18,4,2,4,above 50k,japan,Yes,No,No,1,K Car,0
24,18,4,3,4,10k - 50k,europe,Yes,Yes,No,1,L Car,0
9,18,5,1,5,10k - 50k,japan,Yes,No,No,1,M Car,0
46,18,5,2,5,below 10k,europe,Yes,Yes,Yes,1,N Car,1
29,18,5,3,5,above 50k,europe,No,No,Yes,1,O Car,0
7,18,6,1,6,below 10k,japan,Yes,No,No,1,P Car,0
35,18,6,2,6,above 50k,europe,Yes,No,Yes,1,Q Car,1
39,18,6,3,6,10k - 50k,japan,No,Yes,Yes,1,R Car,0
14,19,1,1,1,above 50k,japan,No,Yes,No,1,A Car,0
48,19,1,2,1,10k - 50k,europe,Yes,Yes,Yes,1,B Car,0
31,19,1,3,1,below 10k,japan,Yes,No,Yes,1,C Car,1
23,19,2,1,2,above 50k,europe,Yes,Yes,No,1,D Car,1
45,19,2,2,2,10k - 50k,japan,Yes,Yes,Yes,1,E Car,0
4,19,2,3,2,below 10k,europe,No,No,No,1,F Car,0
30,19,3,1,3,10k - 50k,europe,No,No,Yes,1,G Car,0
44,19,3,2,3,above 50k,japan,Yes,Yes,Yes,1,H Car,1
16,19,3,3,3,below 10k,europe,No,Yes,No,1,I Car,0
37,19,4,1,4,below 10k,japan,No,Yes,Yes,1,J Car,1
8,19,4,2,4,above 50k,japan,Yes,No,No,1,K Car,0
24,19,4,3,4,10k - 50k,europe,Yes,Yes,No,1,L Car,0
9,19,5,1,5,10k - 50k,japan,Yes,No,No,1,M Car,0
46,19,5,2,5,below 10k,europe,Yes,Yes,Yes,1,N Car,1
29,19,5,3,5,above 50k,europe,No,No,Yes,1,O Car,0
7,19,6,1,6,below 10k,japan,Yes,No,No,1,P Car,0
35,19,6,2,6,above 50k,europe,Yes,No,Yes,1,Q Car,1
39,19,6,3,6,10k - 50k,japan,No,Yes,Yes,1,R Car,0
14,20,1,1,1,above 50k,japan,No,Yes,No,1,A Car,0
48,20,1,2,1,10k - 50k,europe,Yes,Yes,Yes,1,B Car,1
31,20,1,3,1,below 10k,japan,Yes,No,Yes,1,C Car,0
23,20,2,1,2,above 50k,europe,Yes,Yes,No,1,D Car,0
45,20,2,2,2,10k - 50k,japan,Yes,Yes,Yes,1,E Car,0
4,20,2,3,2,below 10k,europe,No,No,No,1,F Car,1
30,20,3,1,3,10k - 50k,europe,No,No,Yes,1,G Car,0
44,20,3,2,3,above 50k,japan,Yes,Yes,Yes,1,H Car,0
16,20,3,3,3,below 10k,europe,No,Yes,No,1,I Car,1
37,20,4,1,4,below 10k,japan,No,Yes,Yes,1,J Car,0
8,20,4,2,4,above 50k,japan,Yes,No,No,1,K Car,0
24,20,4,3,4,10k - 50k,europe,Yes,Yes,No,1,L Car,1
9,20,5,1,5,10k - 50k,japan,Yes,No,No,1,M Car,0
46,20,5,2,5,below 10k,europe,Yes,Yes,Yes,1,N Car,1
29,20,5,3,5,above 50k,europe,No,No,Yes,1,O Car,0
7,20,6,1,6,below 10k,japan,Yes,No,No,1,P Car,0
35,20,6,2,6,above 50k,europe,Yes,No,Yes,1,Q Car,1
39,20,6,3,6,10k - 50k,japan,No,Yes,Yes,1,R Car,0
14,21,1,1,1,above 50k,japan,No,Yes,No,1,A Car,0
48,21,1,2,1,10k - 50k,europe,Yes,Yes,Yes,1,B Car,0
31,21,1,3,1,below 10k,japan,Yes,No,Yes,1,C Car,1
23,21,2,1,2,above 50k,europe,Yes,Yes,No,1,D Car,1
45,21,2,2,2,10k - 50k,japan,Yes,Yes,Yes,1,E Car,0
4,21,2,3,2,below 10k,europe,No,No,No,1,F Car,0
